Question,Answer,Topic ,keywords,topic,Bidirectional LSMT glove v. 5 Clean,,Laura ,NLabels,,Cluster model,,,,,NLabels n.2,,semi supervised learning using  pretrained BERT,,Clusters prediction ,,,,,,,
How did MAP influence SOCS at scale I?,MAP had a positive correlation with SOCS and had a significant influence p < 001 on SOCS for meadow and typical grassland type,Climatic Factors,"climatological, climatology, factors, climatic, climatol, climates, climat, climate, climatena, klimapositives, factor, meteorology, acclimatize, meteorological, atmospheric, humidity, microclimate, atmosphere, meteorol, coefficients, influencing, humid, coefficient, correlation, correlations, causality, impacts, weather, impact, quantifying, quantitative, quantities, geothermal, quantify, influences, influence, causation, geological, variability, ozone, correlated, quantitatively, bioclimatic, variablity, reasons, ratios, influenced, rainfalls, estimations, environment",,strategy,,analysis,factual,Q,Analysis,OK,2,analysis,OK,factual,Q,science & technology,,1,1,,,1,,2,analysis
What was the most important climate factor affecting the typical grassland type at scale I?,AMAT + was the most important climate factor p < 005 affecting the typical grassland type at scale I,Climatic Factors,"climatological, climatology, factors, climatic, climatol, climates, climat, climate, climatena, klimapositives, factor, meteorology, acclimatize, meteorological, atmospheric, humidity, microclimate, atmosphere, meteorol, coefficients, influencing, humid, coefficient, correlation, correlations, causality, impacts, weather, impact, quantifying, quantitative, quantities, geothermal, quantify, influences, influence, causation, geological, variability, ozone, correlated, quantitatively, bioclimatic, variablity, reasons, ratios, influenced, rainfalls, estimations, environment",,science and tech,Q,analysis,science&tech,Q,Ethics and Regulation,,9,analysis,OK,science&tech,Q,science & technology,Q,1,4,,,,,,analysis
How much of the SOCS variation is explained by the total climate factors?,The total climate factors explained an average of 276 % of the SOCS variation,Climatic Factors,"climatological, climatology, factors, climatic, climatol, climates, climat, climate, climatena, klimapositives, factor, meteorology, acclimatize, meteorological, atmospheric, humidity, microclimate, atmosphere, meteorol, coefficients, influencing, humid, coefficient, correlation, correlations, causality, impacts, weather, impact, quantifying, quantitative, quantities, geothermal, quantify, influences, influence, causation, geological, variability, ozone, correlated, quantitatively, bioclimatic, variablity, reasons, ratios, influenced, rainfalls, estimations, environment",,science and tech,Q,analysis,science&tech,Q,Ethics and Regulation,,9,analysis,OK,science&tech,Q,analysis,OK,2,3,,,,,,analysis
How much of the total climate factor explanation was accounted for by the significant climate factors?,"The significant climate factors explained 181 % of the SOCS variation, accounting for 656 % of the total climate factor explanation",Climatic Factors,"climatological, climatology, factors, climatic, climatol, climates, climat, climate, climatena, klimapositives, factor, meteorology, acclimatize, meteorological, atmospheric, humidity, microclimate, atmosphere, meteorol, coefficients, influencing, humid, coefficient, correlation, correlations, causality, impacts, weather, impact, quantifying, quantitative, quantities, geothermal, quantify, influences, influence, causation, geological, variability, ozone, correlated, quantitatively, bioclimatic, variablity, reasons, ratios, influenced, rainfalls, estimations, environment",,science and tech,Q,analysis,science&tech,Q,Ethics and Regulation,,9,analysis,OK,science&tech,Q,analysis,OK,2,3,,,,,,analysis
"At scale III, which climate factor had the strongest correlation with SOCS?","At scale III, MAP had the strongest correlation with SOCS and was the most important climate factor p < 001",Climatic Factors,"climatological, climatology, factors, climatic, climatol, climates, climat, climate, climatena, klimapositives, factor, meteorology, acclimatize, meteorological, atmospheric, humidity, microclimate, atmosphere, meteorol, coefficients, influencing, humid, coefficient, correlation, correlations, causality, impacts, weather, impact, quantifying, quantitative, quantities, geothermal, quantify, influences, influence, causation, geological, variability, ozone, correlated, quantitatively, bioclimatic, variablity, reasons, ratios, influenced, rainfalls, estimations, environment",,science and tech,Q,analysis,science&tech,Q,Ethics and Regulation,,9,analysis,OK,science&tech,Q,science & technology,Q,1,4,,,,,,analysis
How much of the SOCS variation was explained by the significant climate factors at scale III?,"The significant climate factors explained 233 % of the SOCS variation at scale III, accounting for 889 % of the total climate factor explanation",Climatic Factors,"climatological, climatology, factors, climatic, climatol, climates, climat, climate, climatena, klimapositives, factor, meteorology, acclimatize, meteorological, atmospheric, humidity, microclimate, atmosphere, meteorol, coefficients, influencing, humid, coefficient, correlation, correlations, causality, impacts, weather, impact, quantifying, quantitative, quantities, geothermal, quantify, influences, influence, causation, geological, variability, ozone, correlated, quantitatively, bioclimatic, variablity, reasons, ratios, influenced, rainfalls, estimations, environment",,science and tech,Q,analysis,science&tech,Q,Ethics and Regulation,,9,analysis,OK,science&tech,Q,analysis,OK,2,3,,,,,,analysis
What are the factors affecting plant production and SOCS in water-limited areas?,Precipitation is an important factor determining plant production and SOCS in water-limited areas,Climatic Factors,"climatological, climatology, factors, climatic, climatol, climates, climat, climate, climatena, klimapositives, factor, meteorology, acclimatize, meteorological, atmospheric, humidity, microclimate, atmosphere, meteorol, coefficients, influencing, humid, coefficient, correlation, correlations, causality, impacts, weather, impact, quantifying, quantitative, quantities, geothermal, quantify, influences, influence, causation, geological, variability, ozone, correlated, quantitatively, bioclimatic, variablity, reasons, ratios, influenced, rainfalls, estimations, environment",,science and tech,OK,science and tech,factual,,Analysis,,2,analysis,,science&tech,OK,science & technology,OK,1,3,,,,,1,science and tech
What is the most important climate factor for almost all three grassland area scales?,MAP Mean Annual Precipitation is the most important climate factor for almost all three grassland area scales,Climatic Factors,"climatological, climatology, factors, climatic, climatol, climates, climat, climate, climatena, klimapositives, factor, meteorology, acclimatize, meteorological, atmospheric, humidity, microclimate, atmosphere, meteorol, coefficients, influencing, humid, coefficient, correlation, correlations, causality, impacts, weather, impact, quantifying, quantitative, quantities, geothermal, quantify, influences, influence, causation, geological, variability, ozone, correlated, quantitatively, bioclimatic, variablity, reasons, ratios, influenced, rainfalls, estimations, environment",,strategy,,science and tech,science&tech,OK,Ethics and Regulation,,9,analysis,Q,science&tech,OK,science & technology,OK,1,3,,,1,,,science and tech
What were the results of our study?,"The results of our study verified the importance of MAP at previous research scales, identified the main influence of MAP on SOCS at more and larger scales, and revealed that the explanatory power of climate factors on the SOCS varied individually and interactively",Climatic Factors,"climatological, climatology, factors, climatic, climatol, climates, climat, climate, climatena, klimapositives, factor, meteorology, acclimatize, meteorological, atmospheric, humidity, microclimate, atmosphere, meteorol, coefficients, influencing, humid, coefficient, correlation, correlations, causality, impacts, weather, impact, quantifying, quantitative, quantities, geothermal, quantify, influences, influence, causation, geological, variability, ozone, correlated, quantitatively, bioclimatic, variablity, reasons, ratios, influenced, rainfalls, estimations, environment",,science and tech,,analysis,factual,,Analysis,OK,11,others,,factual,,science & technology,,0,2,,1,,,2,analysis
What were the dominant climate factors for different grassland area scales?,"For meadow grassland, MAH was the dominant climate factor; for typical grassland, AMAT was the dominant climate factor; for meadow-typical grassland, NSD was the dominant climate factor; and for typical desert and meadow-typical-desert grassland, MAT was the dominant climate factor",Climatic Factors,"climatological, climatology, factors, climatic, climatol, climates, climat, climate, climatena, klimapositives, factor, meteorology, acclimatize, meteorological, atmospheric, humidity, microclimate, atmosphere, meteorol, coefficients, influencing, humid, coefficient, correlation, correlations, causality, impacts, weather, impact, quantifying, quantitative, quantities, geothermal, quantify, influences, influence, causation, geological, variability, ozone, correlated, quantitatively, bioclimatic, variablity, reasons, ratios, influenced, rainfalls, estimations, environment",,strategy,,analysis,science&tech,,Ethics and Regulation,,9,analysis,OK,science&tech,,science & technology,,1,3,,,1,,,analysis
What are the different climate factors affecting SOCS across area scales?,"The climate factors affecting SOCS across area scales include annual maximum temperature AMAT, annual maximum depth of accumulated snow AMDS, annual minimum temperature AMIT, annual sunshine duration ASD, mean annual ground temperature MAGT, mean annual humidity MAH, mean annual precipitation MAP and mean annual temperature MAT",Climatic Factors,"climatological, climatology, factors, climatic, climatol, climates, climat, climate, climatena, klimapositives, factor, meteorology, acclimatize, meteorological, atmospheric, humidity, microclimate, atmosphere, meteorol, coefficients, influencing, humid, coefficient, correlation, correlations, causality, impacts, weather, impact, quantifying, quantitative, quantities, geothermal, quantify, influences, influence, causation, geological, variability, ozone, correlated, quantitatively, bioclimatic, variablity, reasons, ratios, influenced, rainfalls, estimations, environment",,strategy,,science and tech,science&tech,OK,Ethics and Regulation,,10,science&tech,OK,science&tech,OK,science & technology,OK,,4,,,1,,,science and tech
